temp_max,temp_min,rainfall,humidity,wind_speed,soil_moisture,ndvi,altitude,fall_armyworm,ear_rot,stem_borer,corn_earworm,locust
33.3,23.7,12.8,64.7,1.2,14.5,0.49,1414.1,None,None,High,Low,None
29.5,22.6,7.2,54.6,7.4,13.9,0.57,1681.7,None,High,High,Medium,Low
33.9,23.7,4.5,48.1,1.6,31.3,0.21,2124.5,High,None,Medium,Medium,None
28.4,24.5,1.1,74.5,2.2,57.3,0.31,1755.5,Medium,Low,Medium,Low,Medium
38.9,22.1,5.5,94.5,4.7,20.9,0.65,2488.9,Low,High,None,Medium,Low
31.1,16.9,4.9,53.3,6.2,22.8,0.7,1574.7,None,High,None,None,Low
36.0,20.9,4.6,47.3,5.1,15.0,0.61,2013.7,High,High,None,Low,Medium
31.7,16.8,3.4,84.0,2.2,40.3,0.3,2147.4,Low,High,None,Low,None
34.2,20.1,3.8,57.6,0.5,44.0,0.51,1640.0,None,Low,Low,Medium,High
34.6,20.1,2.0,86.5,6.2,42.1,0.45,2256.9,Medium,Medium,Low,Medium,Medium
30.2,16.7,3.7,80.2,7.9,53.1,0.55,1728.5,High,Low,Medium,Medium,High
39.6,19.5,1.1,92.3,6.6,34.3,0.81,1499.8,None,Low,Medium,Medium,Low
37.3,17.1,8.2,65.4,4.0,16.7,0.74,983.3,High,Low,Medium,None,High
39.3,24.1,1.0,78.1,7.3,24.5,0.26,1468.8,Medium,Medium,Low,High,Medium
38.7,25.5,0.4,68.2,3.6,43.1,0.82,2047.7,Low,Medium,Low,None,High
35.2,16.7,2.9,76.5,4.4,40.7,0.53,2366.2,Medium,High,High,Medium,None
39.1,25.6,5.4,67.5,4.1,36.6,0.72,1227.9,High,Medium,None,None,Medium
29.1,21.2,2.9,54.4,3.9,44.1,0.3,1403.9,None,None,High,Medium,High
30.4,19.0,1.6,70.4,6.3,41.9,0.67,1061.7,None,Medium,Low,Medium,None
28.5,16.8,4.1,71.4,4.5,54.1,0.37,1974.2,High,Low,Medium,Low,Medium
31.9,21.0,2.1,85.5,2.9,39.3,0.51,2432.3,Medium,Low,None,Medium,High
32.7,23.9,13.5,81.8,2.4,48.9,0.21,1889.6,Low,High,None,None,Medium
31.3,23.1,12.8,78.2,0.8,22.4,0.31,1849.0,Medium,Medium,Low,None,None
37.9,16.5,3.5,50.7,4.9,43.9,0.26,1740.9,Medium,High,Medium,Medium,Medium
32.3,16.7,2.0,81.0,2.2,55.1,0.37,950.4,High,Medium,Low,High,None
31.4,20.0,6.7,70.0,1.6,29.3,0.27,2040.2,High,Medium,Medium,Low,High
34.5,19.0,0.2,89.7,5.4,49.0,0.68,1823.5,Low,High,Low,Low,None
29.7,18.3,3.2,91.0,5.6,46.2,0.22,1924.5,Low,None,Low,Medium,None
37.6,18.8,2.0,47.8,6.1,13.0,0.63,2328.0,Medium,None,High,Medium,Low
28.9,24.0,12.7,86.0,4.3,39.1,0.3,2132.7,Low,None,High,Low,Medium
39.8,25.3,0.1,46.9,7.2,16.5,0.86,2127.6,Medium,Low,Medium,High,High
37.3,20.1,4.0,63.4,7.5,58.4,0.85,2376.2,Low,None,None,Medium,None
30.4,25.1,6.7,72.1,6.6,50.6,0.36,2482.9,None,High,None,None,None
28.1,19.2,3.3,52.4,5.3,15.5,0.63,1788.2,Low,Medium,High,None,Low
37.8,20.8,0.4,82.3,2.8,16.1,0.22,985.1,Medium,Medium,None,Low,High
36.5,18.3,18.0,45.4,7.9,39.7,0.85,1580.5,High,Low,High,Medium,Low
36.7,22.4,3.6,53.4,2.6,27.2,0.57,2138.9,Low,Low,Low,None,Low
37.3,25.8,4.8,74.0,2.0,11.7,0.23,847.1,None,Low,High,High,Medium
28.9,22.0,1.3,80.7,3.8,37.1,0.44,896.7,Low,Medium,Low,Low,Low
32.3,19.6,3.3,90.8,0.9,29.4,0.25,914.2,High,Low,Low,Medium,Low
29.4,22.5,2.8,80.3,7.8,15.1,0.48,2042.8,Low,Medium,Medium,None,Low
38.4,17.2,0.4,78.6,4.9,50.1,0.67,1652.0,Medium,Medium,High,High,High
35.5,24.9,0.6,64.7,4.7,55.8,0.53,1427.1,Medium,High,High,High,High
32.0,21.0,9.1,45.1,5.4,47.8,0.47,979.5,None,None,Medium,None,High
28.8,20.5,1.4,51.0,4.2,51.1,0.28,2044.8,High,High,High,High,Low
31.7,21.9,1.1,71.7,0.7,20.8,0.37,1345.7,None,Medium,Medium,Low,Medium
31.9,22.2,3.5,78.8,5.1,23.2,0.27,1251.1,Medium,Medium,High,Medium,None
36.8,16.7,7.3,65.9,5.9,20.4,0.77,1908.9,None,Low,High,High,Medium
35.7,22.8,0.3,81.5,3.6,48.3,0.29,1750.3,None,Low,Low,Medium,Medium
38.6,18.4,4.3,71.1,6.2,57.4,0.62,1416.1,Medium,None,Medium,High,High
33.7,23.1,0.6,48.7,2.2,45.8,0.44,1890.5,Low,High,Medium,High,None
29.4,24.2,0.2,54.6,2.2,54.1,0.36,1261.1,Medium,Low,Medium,High,High
36.6,24.0,0.3,87.0,1.7,41.9,0.65,2151.2,Medium,High,High,None,Medium
37.1,21.5,9.0,81.2,3.3,29.4,0.52,1189.8,Medium,Low,Low,Low,Low
34.7,21.2,0.6,89.7,6.9,31.3,0.48,1070.0,Low,None,None,Medium,Medium
37.3,17.4,0.2,50.9,6.7,13.8,0.61,2130.1,Medium,Medium,Low,Medium,High
33.9,23.8,2.9,94.5,3.4,11.6,0.54,2003.4,Medium,None,None,Medium,High
34.3,18.7,9.3,55.5,4.9,44.8,0.41,1110.5,Low,High,Low,None,Medium
33.1,21.0,1.5,45.6,5.9,31.9,0.59,997.6,Medium,High,High,High,None
28.3,18.8,2.7,94.9,2.3,37.6,0.67,2225.3,High,Medium,Medium,High,High
29.3,17.3,0.2,59.1,1.8,37.9,0.22,2120.2,None,Medium,High,Low,Medium
28.4,22.3,3.0,78.4,7.8,23.9,0.53,1356.3,High,Medium,None,None,Low
35.6,16.5,4.3,53.8,5.1,33.8,0.24,1918.9,None,High,High,None,None
31.8,23.5,4.2,74.0,7.9,33.5,0.33,1011.1,Low,Low,Medium,None,None
34.1,19.2,2.0,90.2,3.0,29.4,0.59,1662.0,Low,High,None,Medium,None
38.9,16.0,1.9,61.0,5.8,51.0,0.81,831.8,Medium,Medium,Medium,High,High
31.0,21.1,0.6,78.5,2.2,32.6,0.82,1465.7,None,High,High,None,None
32.9,16.5,2.3,54.4,2.5,40.2,0.25,927.2,High,High,None,Medium,None
37.1,18.8,0.5,76.2,4.3,54.8,0.49,1607.8,High,High,Medium,Medium,Low
30.7,23.1,7.3,61.8,2.9,53.3,0.61,1516.9,Medium,Medium,High,Low,Low
28.9,16.6,16.9,55.6,1.8,54.5,0.3,1555.5,Low,None,None,Medium,None
31.5,24.4,17.5,60.7,2.5,23.5,0.74,877.1,High,Medium,Medium,Medium,None
29.9,16.0,10.0,53.9,0.8,11.7,0.72,1414.7,High,Medium,Low,High,None
39.2,18.5,4.6,90.1,5.8,23.1,0.83,2086.0,Low,High,Low,Low,Medium
37.7,23.4,6.0,64.9,4.2,23.9,0.21,1427.2,Medium,None,Medium,Medium,None
35.6,19.2,1.7,57.3,1.2,55.5,0.35,2015.8,Medium,Medium,None,Low,Medium
38.5,17.0,5.0,67.4,1.8,42.5,0.78,1428.1,Medium,None,High,None,None
37.6,19.6,3.0,61.0,1.3,14.1,0.67,1519.5,Low,High,None,None,None
30.2,18.7,3.3,82.2,5.1,16.8,0.83,1758.6,Low,None,Low,Low,Low
38.7,24.4,7.1,93.6,1.2,17.8,0.24,2416.2,None,Medium,Medium,None,None
34.5,19.1,1.7,66.9,6.2,41.5,0.62,985.1,Low,Low,Low,Low,None
37.7,23.9,1.9,88.1,0.7,46.8,0.6,856.0,Medium,Low,Low,Medium,Low
38.8,24.9,12.9,73.3,2.4,53.0,0.22,1833.5,High,High,High,Medium,Low
31.8,20.3,0.3,52.9,7.2,57.0,0.56,2413.5,High,None,High,None,Medium
29.3,25.1,3.3,79.5,5.9,20.1,0.63,2482.5,Medium,None,High,Low,None
30.7,19.8,12.2,70.7,1.0,25.5,0.33,1623.1,Medium,None,Medium,Medium,High
33.1,25.6,4.7,77.5,6.7,22.0,0.39,1595.7,None,Medium,High,Low,High
37.8,16.9,4.0,89.5,4.2,27.9,0.65,1896.4,Medium,Medium,High,Low,High
38.3,22.9,1.4,67.0,6.9,55.7,0.53,1744.6,None,Low,Low,Medium,Low
28.1,20.9,2.1,90.1,5.0,38.8,0.8,1877.9,Low,Medium,Low,None,High
34.1,19.9,9.6,82.5,5.6,46.9,0.44,2285.8,Medium,None,None,Low,None
33.0,22.3,4.1,69.4,8.0,34.5,0.39,2068.7,Low,High,Low,None,None
30.7,23.0,3.6,75.2,2.2,11.4,0.89,1644.7,None,High,High,None,None
29.4,16.0,0.5,61.3,5.2,13.2,0.84,1585.2,High,High,Medium,High,High
32.1,17.7,0.1,94.2,4.0,36.9,0.22,1887.3,Low,High,Medium,Low,Low
39.3,23.1,16.6,78.4,0.8,45.9,0.74,1574.7,None,Low,None,Medium,High
31.9,22.7,2.4,47.2,0.6,20.8,0.28,1578.2,None,Low,None,Medium,Low
34.2,25.7,4.6,61.3,1.4,46.1,0.22,827.7,Low,Medium,Low,None,High
36.4,23.6,0.4,76.2,5.4,50.5,0.39,1095.9,None,None,High,None,High
32.4,25.5,5.7,47.8,4.8,30.6,0.39,1630.5,High,Low,Low,High,High
39.7,23.0,13.5,46.2,4.7,47.3,0.77,2198.5,Low,None,High,High,Low
39.5,19.0,4.3,67.5,0.7,30.2,0.7,1273.8,High,Low,None,Low,High
31.0,17.1,0.7,61.6,4.0,43.9,0.89,1688.5,None,Medium,Medium,Low,High
34.0,23.8,4.4,66.9,7.4,48.2,0.7,1386.4,Low,None,Medium,High,Low
31.6,22.4,7.3,58.1,3.5,59.6,0.49,978.2,Medium,None,High,Low,Low
31.4,16.5,2.6,53.2,5.2,27.3,0.69,2429.1,Medium,Medium,None,None,Medium
28.4,19.6,10.6,79.5,6.3,30.6,0.9,2252.9,Medium,None,None,Low,Low
35.3,25.6,5.2,70.7,6.4,18.3,0.7,933.4,High,High,None,Low,High
34.0,21.0,11.5,55.0,4.4,20.2,0.73,2023.6,None,None,High,None,None
28.6,20.3,4.9,61.0,6.9,44.7,0.86,1390.9,Low,Medium,None,Low,Medium
31.3,20.6,0.7,74.6,3.4,55.9,0.28,2491.2,High,Low,None,Medium,None
38.9,18.1,1.9,48.6,7.2,29.7,0.69,1314.1,None,None,Medium,Medium,Low
30.9,19.7,1.1,52.4,2.3,19.0,0.8,1205.9,None,Low,Medium,None,Low
29.7,19.7,12.0,48.7,2.6,24.3,0.87,1765.4,None,Medium,High,Low,High
33.9,16.5,7.1,85.6,0.9,32.8,0.35,2219.7,Medium,High,High,Medium,None
39.8,23.7,5.6,82.6,6.5,24.5,0.55,1127.3,Low,Medium,Medium,None,High
30.9,20.2,1.8,82.7,3.6,21.7,0.68,2006.0,None,None,High,None,High
36.1,24.2,1.0,80.8,2.2,46.8,0.37,904.4,Low,None,Medium,Low,Low
37.1,24.5,7.1,78.5,2.2,10.4,0.62,2362.2,Medium,Low,Low,None,None
30.9,18.1,3.2,68.8,7.3,37.0,0.38,937.8,None,None,High,High,None
36.7,22.6,1.3,77.1,6.8,49.7,0.43,2354.2,Low,Low,Medium,Medium,Low
32.4,20.7,4.8,46.9,4.7,23.3,0.51,1634.4,Medium,High,Low,Low,None
35.6,24.8,0.2,76.1,5.1,40.2,0.57,1561.8,High,Medium,Medium,Medium,Medium
35.6,18.2,2.0,83.9,4.1,43.4,0.51,2454.6,Medium,Medium,Low,Low,High
34.4,22.8,3.2,70.0,3.4,42.8,0.55,2483.7,High,Medium,None,None,None
29.1,22.1,0.8,62.9,7.4,32.3,0.41,1905.3,Low,High,Medium,None,Medium
38.0,19.0,20.9,58.9,1.4,27.3,0.31,1016.1,Low,None,High,Medium,High
31.8,17.4,1.2,77.1,3.6,51.8,0.23,1660.5,Low,High,Medium,None,High
30.2,22.5,0.7,79.6,3.1,47.9,0.34,1699.6,High,High,None,Low,High
28.5,23.4,1.1,88.5,4.2,26.1,0.61,1674.6,Low,None,High,None,High
35.1,19.2,7.3,62.1,3.9,15.2,0.75,1768.1,High,Low,None,None,Low
36.1,22.4,2.8,83.5,4.4,13.6,0.32,831.8,High,High,Low,Medium,High
28.2,20.0,4.2,73.1,1.5,14.7,0.28,2009.1,None,High,Low,High,High
34.1,23.1,0.1,89.1,4.3,39.1,0.72,2011.1,None,Low,None,Medium,Low
30.7,18.0,0.2,71.4,2.3,12.6,0.41,996.3,None,Medium,Low,Medium,Low
35.7,24.9,3.0,70.9,1.9,26.8,0.87,1769.4,Low,Low,Medium,High,Low
30.1,18.9,8.5,73.9,1.0,47.7,0.7,1766.2,None,Low,High,None,Low
36.3,19.7,10.8,82.5,6.2,24.7,0.43,1960.2,High,Low,High,None,None
32.6,16.6,0.5,93.2,3.7,48.2,0.4,945.2,None,Low,High,Low,Medium
39.2,17.1,3.9,48.7,5.2,47.3,0.57,1865.1,Low,Medium,Low,Low,Medium
29.7,21.2,12.2,47.7,6.0,22.3,0.26,1277.3,None,High,Medium,Low,Low
32.1,18.7,2.5,91.9,5.6,46.4,0.28,1661.9,High,High,High,None,None
29.4,24.4,8.8,71.5,4.0,47.4,0.32,2114.7,Medium,None,Low,None,High
39.1,16.1,0.7,75.7,3.4,29.9,0.74,1999.6,High,High,High,Medium,None
38.5,19.8,13.7,69.1,3.3,20.5,0.56,1002.1,High,Low,Low,High,None
31.1,19.4,7.0,49.7,5.3,36.1,0.21,1805.0,Low,Low,Low,Low,Medium
35.9,16.2,14.2,83.4,4.2,56.1,0.67,2447.5,None,High,Medium,None,Low
37.8,17.2,5.6,82.4,6.9,42.0,0.5,1066.5,None,Low,Medium,Medium,None
34.7,20.1,2.3,60.6,7.1,18.6,0.56,2249.9,None,None,Medium,Low,Low
34.4,20.9,13.9,60.3,1.8,44.1,0.35,1994.3,Medium,None,Low,None,High
30.9,20.0,1.6,86.9,1.5,31.4,0.59,2115.8,None,Low,Medium,Low,Medium
29.1,21.3,2.0,48.6,5.2,39.6,0.89,1279.3,None,High,High,Medium,Low
38.8,22.0,6.0,89.1,2.8,46.7,0.25,1289.4,Medium,High,High,High,None
38.8,16.1,7.2,57.8,0.6,35.7,0.4,2340.2,Medium,High,None,Medium,Medium
35.6,20.6,13.3,74.6,7.2,50.7,0.37,1411.7,Medium,High,None,Low,High
32.1,25.6,1.1,91.8,2.2,46.1,0.37,907.1,Low,Medium,Medium,Low,Medium
32.2,21.2,8.0,78.9,7.5,40.8,0.47,1821.0,High,High,Low,None,High
36.7,22.8,6.7,65.7,5.9,17.5,0.77,1012.2,Medium,None,None,High,Medium
38.8,19.1,0.3,79.5,6.2,51.8,0.84,2154.2,None,High,Low,Medium,Medium
38.6,23.7,2.4,62.2,2.0,56.8,0.34,1891.0,High,Low,High,None,High
37.4,23.7,1.7,58.9,2.3,16.8,0.58,2287.0,High,High,High,Medium,High
35.7,21.2,1.8,94.8,4.4,34.4,0.65,2134.2,None,None,Low,Low,High
29.0,25.8,20.4,82.5,1.8,22.9,0.57,990.6,Low,Medium,Low,High,Low
29.9,17.3,5.1,77.2,2.8,47.7,0.5,1447.8,Low,Medium,Medium,High,High
38.8,16.2,6.3,62.8,2.9,46.1,0.33,2116.8,None,High,None,None,Medium
35.3,23.7,18.8,47.5,1.7,17.0,0.54,1509.5,High,High,Medium,Medium,High
28.1,24.1,2.4,46.6,2.0,53.9,0.48,2453.0,Low,Low,None,Low,None
29.2,17.2,8.1,72.7,6.4,19.0,0.76,2050.8,High,Medium,Low,None,Medium
36.0,18.7,2.9,83.1,1.8,49.9,0.73,826.3,Medium,Low,Low,Medium,High
28.1,16.2,10.2,71.9,0.7,32.8,0.29,2296.0,Medium,None,Medium,Medium,None
29.9,18.9,1.0,87.0,5.2,26.4,0.26,971.4,None,None,Medium,None,Medium
34.6,23.7,14.8,46.7,7.8,17.9,0.84,1038.9,None,None,Low,Medium,High
36.3,21.2,1.2,63.3,3.0,18.4,0.57,2048.6,None,Medium,None,Medium,Low
35.8,19.5,2.0,56.9,1.4,43.1,0.8,2270.4,None,High,Low,None,Low
30.7,19.7,7.1,67.4,4.8,37.5,0.24,1711.8,Low,High,Medium,Low,Medium
36.5,16.0,2.5,48.6,7.3,16.1,0.57,1291.4,High,None,None,Medium,Medium
30.8,19.0,4.7,92.7,6.4,15.6,0.58,1397.2,Low,None,None,None,None
31.9,22.5,2.9,56.2,5.2,13.6,0.8,1382.9,High,None,Medium,High,None
37.0,25.7,6.8,91.1,2.9,47.2,0.27,1355.4,Low,Low,High,None,None
35.8,24.5,1.3,66.3,4.6,45.6,0.37,1212.9,High,None,Low,None,Low
38.2,16.2,0.3,94.3,1.2,12.9,0.48,1835.1,High,Low,Low,None,None
35.9,25.0,1.8,72.7,5.6,38.0,0.81,2330.7,None,Medium,High,Medium,Medium
34.8,23.8,3.2,91.5,5.9,14.2,0.86,1322.0,High,Medium,High,Medium,Medium
29.1,23.8,0.9,45.3,7.7,55.2,0.89,1117.4,Medium,Medium,Low,Low,High
32.4,20.6,2.2,82.4,2.5,55.4,0.87,2225.6,High,Low,High,Low,None
31.2,20.0,2.6,90.2,0.6,44.9,0.2,2061.0,Medium,Medium,Medium,High,Low
30.9,19.0,0.3,52.0,4.6,56.3,0.23,2382.4,Low,High,High,None,Low
39.7,16.7,4.4,49.8,5.8,50.6,0.3,1081.4,None,Low,Low,Low,High
32.7,18.3,10.8,66.2,6.4,51.4,0.44,1045.2,None,None,High,None,Medium
38.7,18.5,0.8,91.7,2.0,38.5,0.78,1720.4,Medium,Low,High,None,High
35.6,20.8,4.6,72.1,2.5,25.3,0.82,1844.5,High,None,Low,Low,None
37.5,23.5,5.5,71.4,4.3,20.9,0.33,1616.3,Medium,Low,High,None,Medium
34.0,20.7,2.7,52.1,3.0,26.4,0.63,1818.2,Low,None,Low,Low,Medium
34.9,16.6,6.0,45.0,7.0,41.4,0.84,1106.6,High,Low,None,High,High
33.9,25.6,2.6,85.5,4.1,18.6,0.52,1615.3,High,None,Low,None,Medium
30.3,25.4,3.5,49.4,6.5,22.9,0.27,1918.8,Low,Medium,High,High,Medium
36.7,23.9,0.0,76.7,4.9,33.4,0.52,1535.6,None,None,Medium,Medium,None
31.4,25.9,5.9,90.7,6.3,21.7,0.46,1955.1,None,Medium,Medium,Low,Medium
28.3,21.4,5.4,55.4,3.0,39.4,0.6,1567.0,High,None,Medium,Medium,Low
35.7,25.6,0.2,78.3,6.7,56.2,0.51,1367.1,High,None,None,Low,None
30.1,16.8,2.3,48.9,2.6,47.4,0.21,1316.1,Low,High,Low,None,None
39.3,19.7,19.3,75.2,4.6,43.3,0.9,1498.5,Low,Medium,Medium,High,High
39.4,18.3,2.7,53.2,2.1,39.1,0.58,839.3,High,None,High,Medium,Low
39.0,18.0,3.5,81.8,4.1,34.4,0.53,1936.5,High,Medium,None,High,High
32.4,17.4,12.0,60.1,2.9,19.3,0.87,2236.7,High,Medium,Low,High,High
28.2,22.2,6.3,68.2,2.5,54.7,0.31,1402.9,Medium,Low,None,None,High
39.1,23.8,4.4,75.0,7.8,22.4,0.33,878.3,None,Low,None,None,High
33.1,21.8,8.0,53.6,1.7,14.6,0.77,2477.5,Medium,High,Low,None,High
39.6,17.5,10.0,82.1,6.4,47.5,0.38,1248.3,None,None,Medium,High,Low
39.6,24.1,3.1,60.1,7.9,18.8,0.76,1015.3,High,Low,None,High,None
38.2,22.4,3.2,78.1,0.6,28.6,0.39,1428.6,Low,Low,None,Medium,Medium
31.5,19.9,2.4,52.9,5.7,11.4,0.22,2055.5,High,High,High,None,Low
32.6,22.7,17.0,79.4,2.4,16.9,0.56,1299.7,Low,High,High,None,None
38.2,18.6,6.0,51.4,0.8,18.7,0.34,1777.0,High,High,Low,High,Medium
31.8,19.5,0.4,66.3,3.5,12.7,0.73,1506.5,Low,High,Medium,High,Medium
30.0,25.2,9.9,57.4,7.5,42.8,0.65,1000.2,Low,High,Low,None,High
34.7,18.9,3.3,82.4,0.6,51.9,0.85,1361.5,Medium,Medium,High,None,Medium
39.2,20.7,0.4,58.1,4.9,28.7,0.75,2032.3,None,High,Medium,Low,Medium
36.4,24.9,4.0,89.1,4.3,53.7,0.33,1840.4,High,High,High,None,Low
34.8,23.1,2.7,89.6,7.1,20.7,0.76,1003.6,Medium,None,None,High,Low
29.2,16.6,10.5,54.8,1.1,26.3,0.65,1077.6,Medium,Medium,Medium,Low,High
35.4,17.5,1.1,75.7,5.6,17.5,0.67,1889.2,High,Medium,Medium,Medium,None
39.9,16.1,8.8,49.4,5.6,41.0,0.78,2182.8,High,High,Low,Low,Low
29.7,22.3,4.1,64.6,5.5,31.0,0.6,1394.1,Medium,High,Low,Low,Medium
34.2,20.5,0.3,80.7,7.6,40.7,0.53,1812.0,High,High,Medium,None,Low
38.5,17.3,17.9,78.0,6.7,48.1,0.65,1090.1,None,High,Medium,High,Low
36.9,25.6,3.6,76.2,0.8,37.3,0.41,1329.3,None,Medium,None,Medium,Low
36.4,21.3,1.7,59.1,4.0,41.4,0.33,834.5,Medium,None,Medium,Low,None
36.4,18.4,3.2,63.9,3.5,56.8,0.63,2106.1,Low,None,None,Low,Low
32.3,21.0,9.8,50.1,2.8,25.0,0.36,1481.7,Low,Medium,None,None,High
31.5,22.8,1.8,81.0,3.9,28.0,0.26,2187.4,Low,Low,Medium,None,Medium
37.7,16.8,1.1,70.2,3.4,45.9,0.2,2004.2,Low,Low,Low,Medium,None
37.7,18.7,0.7,80.4,3.7,40.6,0.63,2208.9,High,Low,Low,Medium,Low
38.4,24.1,1.8,57.4,7.8,18.9,0.45,1285.6,Medium,High,Low,Low,None
39.0,20.6,7.6,61.2,1.2,28.8,0.73,1114.7,High,Low,Medium,High,High
34.1,21.5,3.2,61.7,7.4,33.4,0.46,2452.2,High,High,Low,Medium,Low
34.0,20.3,1.3,46.3,4.1,31.0,0.54,2019.5,Low,High,High,Low,High
37.6,16.4,0.9,62.1,5.2,18.9,0.48,2217.9,Low,Low,Low,None,Low
35.8,17.7,2.0,85.2,6.7,56.2,0.66,822.3,Low,Low,Medium,High,High
36.4,20.5,14.1,89.9,3.2,48.1,0.45,1402.6,High,High,Low,Medium,Low
37.5,18.1,2.1,70.9,3.7,34.1,0.87,2062.8,None,Medium,Medium,None,None
38.7,16.5,22.2,67.8,3.6,44.0,0.86,932.6,None,Low,Medium,Medium,None
32.1,24.4,3.3,46.5,3.3,54.9,0.79,1764.5,High,None,Low,Low,Medium
32.5,25.8,1.0,89.0,7.4,16.8,0.84,1529.4,Medium,Low,Low,High,Low
29.1,23.9,11.1,45.7,6.7,22.5,0.51,829.9,None,None,Low,High,Low
34.9,24.5,3.1,92.2,1.3,37.1,0.58,1201.2,None,Low,None,Medium,High
28.4,18.4,6.2,69.5,1.3,50.0,0.72,1284.1,High,Low,None,Medium,None
33.6,25.6,20.6,62.1,3.7,11.8,0.69,990.2,High,Medium,Medium,None,Low
34.5,18.0,0.3,91.2,1.2,59.2,0.82,1873.6,Low,High,High,Medium,High
31.4,25.5,0.5,46.2,5.1,32.7,0.7,1212.1,Low,Medium,Low,High,Low
35.1,25.9,6.4,74.1,1.6,28.0,0.9,1272.0,High,High,Low,Low,High
28.4,23.1,1.7,72.4,4.4,24.6,0.44,2327.0,High,High,None,Medium,Low
28.4,25.8,1.0,56.0,0.6,18.7,0.78,1594.1,High,Medium,None,High,Low
37.9,21.7,0.2,66.4,2.9,49.6,0.69,1466.6,Medium,Low,High,None,None
32.3,18.6,0.1,77.6,5.6,57.8,0.68,2030.6,High,Low,Medium,None,High
29.5,20.4,7.4,81.4,4.1,30.7,0.43,2346.3,Low,High,None,Medium,High
34.3,21.9,0.7,45.0,7.8,57.6,0.75,842.6,None,High,Low,High,High
37.2,16.7,3.2,91.8,7.1,51.2,0.83,1562.0,Medium,Low,High,High,Low
